"Wavelength","Semrock FF01-400/40","Semrock FF01-470/28","Semrock FF01-532/18","Chroma 51000bs","pco.edge 4.2","Omicron LedHUB 405nm LED","Omicron LedHUB 475nm LED","Omicron LedHUB 530nm LED"
398,0.96961999,9.0413996e-9,1e-7,0.21173499524592998,0.373803047246154,0.414451783089557,0.000659999999999189,-0.000478455120759285
399,0.96934998,1.1287e-8,1e-7,0.25502699613571,0.378648344558664,0.497269023377939,0.000549999999999551,-0.000478455120759285
400,0.95380002,1.4091e-8,1e-7,0.26953199505805997,0.383598655036545,0.588748530224642,0.000479999999999906,0.000119860680280415
401,0.97095001,1.7592001e-8,1e-7,0.16823400557041002,0.38860650742059,0.683122524072644,0.0004599999999997,0.000110040243047116
402,0.96104997,2.1928001e-8,1e-7,0.07176510244607902,0.393700776905064,0.775792671644659,0.000419999999999716,0.000378473621639175
403,0.97143,2.6537e-8,1e-7,0.029163500294089,0.398831164262867,0.859685066411856,0.00038000000000004,0.0000406784825347228
404,0.95937997,3.2115e-8,1e-7,0.013410699553788,0.403940721251229,0.927333007590001,0.00038,0.000402622989922233
405,0.97658002,3.8863998e-8,1e-7,0.0069019198417664,0.408969805494752,0.975248773052895,0.000379999999999919,0.000370752970603405
406,0.96561003,4.7032e-8,1e-7,0.00427125999704,0.413944480864154,0.997673168978896,0.00037000000000001,0.000216458853930998
407,0.95618999,5.6200001e-8,1e-7,0.0023097000084817,0.418859301183146,0.993657938464403,0.000370000000000242,0.000317919035750534
408,0.96244001,5.1625001e-8,1e-7,0.0018154400167987,0.423773548344156,0.961969980178356,0.000400000000000181,0.000643167002016762
409,0.96096998,4.7423001e-8,1e-7,0.0014707699883729,0.428742607295162,0.907032268143205,0.000430000000000182,0.000433724168100356
410,0.97359002,4.3562e-8,1e-7,0.00080818898277357,0.433790977103647,0.831314440294982,0.00046000000000021,0.000501288623598578
411,0.96390003,4.0016001e-8,1e-7,0.0009056520066224,0.438923601962622,0.745272523465111,0.000490000000000119,0.000115506070672122
412,0.97663999,3.6229999e-8,1e-7,0.00068611797178164,0.444151647829079,0.655417824609984,0.000510000000000496,-0.000177918970155788
413,0.9745,2.4455e-8,1e-7,0.00046710000606254003,0.449378504169374,0.569817136661797,0.000570000000000861,0.000290305851207096
414,0.96478999,1.6508e-8,1e-7,0.00072811701102182,0.45451788588878,0.491121142010986,0.00068000000000068,0.00056682432961358
415,0.97206998,1.1143e-8,1e-7,0.00054584897588938,0.45950876489103,0.423709412962868,0.000780000000000697,0.00016604086719671
416,0.97446001,7.5213e-9,1e-7,0.00064005301101133,0.464350487489728,0.367099088906244,0.000880000000000693,0.000366230991273864
417,0.96920002,5.2414002e-9,1e-7,0.00084321800386533,0.469070454465408,0.319309106310453,0.000980000000000696,0.000304070057547567
418,0.96785003,6.7830999e-9,1e-7,0.00083186000119895,0.47375404661078,0.279788317039568,0.00108000000000079,0.000571147495603913
419,0.97047001,8.7784002e-9,1e-7,0.0012145199580118,0.478494352558468,0.245147457155523,0.00119000000000112,0.000566569528272054
